agency,state,name,address,city,latitude,longitude,level
Bureau of Land Management,Arizona,Colorado River District Office,1785 Kiowa Ave.,"Lake Havasu City, AZ 86403",34.503485,-114.352934,federal
Bureau of Land Management,Arizona,Phoenix District Office,2020 E. Bell Road,"Phoenix, AZ 85022",33.641439,-112.038427,federal
Department of Forestry and Fire Management,Arizona,State Forrester's Office,1110 West Washington St #500,"Phoenix, AZ 85007",33.448761,-112.086919,state
Department of Forestry and Fire Management,Arizona,Northern District Office,3650 Lake Mary Road,"Flagstaff, AZ 86001",35.164732,-111.663525,state
Department of Forestry and Fire Management,Arizona,Central District Office,3700 E. 16th Ave. ,"Apache Junction, AZ 85119",33.40376,-111.5062,state
Department of Forestry and Fire Management,Arizona,Northeast District Office,101 Firehouse Lane ,"Lakeside, AZ 85929 ",34.203723,-109.911127,state
Department of Forestry and Fire Management,Arizona,Northwest District Office,1133 W. Road 3 North ,"Chino Valley, AZ 86323",34.773762,-112.467943,state
Department of Forestry and Fire Management,Arizona,Southeast District Office,6781 E. Outlook Drive,"Tucson, AZ 85756 ",32.144016,-110.848096,state
Bureau of Land Management,New Mexico,Albuquerque District Office,"100 Sun Avenue, NE","Albuquerque, NM 87109",35.166335,-106.586978,federal
Bureau of Land Management,New Mexico,Las Cruces District Office,1800 Marquess Street,"Las Cruces, NM 88005-3371",32.287992,-106.777848,federal
Bureau of Land Management,New Mexico,Pecos District Office,2909 West Second Street,"Roswell, NM 88201-2019",33.39505,-104.565434,federal
Bureau of Land Management,New Mexico,Farmington District Office,"6251 College Blvd., Suite A","Farmington, NM 87402",36.786172,-108.158137,federal
New Mexico Forestry Division,New Mexico,New Mexico Forestry Division,1220 S. St. Francis Drive,"Santa Fe, NM 87505",35.66913,-105.957206,state
New Mexico Forestry Division,New Mexico,District 1 - CHAMA,"17013 B, US Highway 84/64","Tierra Amarilla, NM 87575",36.756748,-106.559387,state
New Mexico Forestry Division,New Mexico,District 2 - CIMARRON,29885 US-64,"Ute Park, NM 87749",36.564575,-105.076802,state
New Mexico Forestry Division,New Mexico,District 3 - SOCORRO,"HC 32, Box 2 1701 Enterprise","Socorro, NM 87801",34.033947,-106.917498,state
New Mexico Forestry Division,New Mexico,District 4 - LAS VEGAS,"HC 33, Box 109 #4","Las Vegas, NM 87701",35.543633,-105.224732,state
New Mexico Forestry Division,New Mexico,District 5 - CAPITAN,304 W 2nd St,"Capitan, NM 88316",33.544755,-105.576181,state
New Mexico Forestry Division,New Mexico,District 6 - BERNALILLO,5105 Santa Fe Hills Blvd NE,"Rio Rancho, NM 87144",35.343748,-106.598754,state
Bureau of Land Management,Colorado,BLM Western Headquarters,"760 Horizon Dr., Ste. 102","Grand Junction, CO 81506",39.114976,-108.532986,federal
Bureau of Land Management,Arizona,Arizona State Office,"One North Central Ave., Suite 800","Phoenix, AZ 85004-4427",33.45699,-112.0742,federal
Bureau of Land Management,California,California State Office,2800 Cottage Way Suite W1623,"Sacramento, CA 95825",38.601463,-121.397952,federal
Bureau of Land Management,Colorado,Colorado State Office,PO Box 151029,"Lakewood, CO 80215",39.744809,-105.113626,federal
Bureau of Land Management,Idaho,Idaho State Office,1387 S. Vinnell Way,"Boise, ID 83709",43.592476,-116.287061,federal
Bureau of Land Management,Montana,Montana/Dakotas State Office,5001 Southgate Drive,"Billings, MT 59101",45.754355,-108.54208,federal
Bureau of Land Management,Nevada,Nevada State Office,1340 Financial Blvd.,"Reno, NV 89502",39.507885,-119.747435,federal
Bureau of Land Management,New Mexico,New Mexico State Office,301 Dinosaur Trail,"Santa Fe, NM 87508",35.598831,-106.037361,federal
Bureau of Land Management,Oregon,Oregon/Washington State Office,1220 SW 3rd Avenue,"Portland, OR 97204",45.514468,-122.677047,federal
Bureau of Land Management,Utah,Utah State Office,"440 West 200 South, Ste. 500","Salt Lake City, UT 84101",40.765454,-111.903397,federal
Bureau of Land Management,Wyoming,Wyoming State Office,5353 Yellowstone Road,"Cheyenne, WY 82009",41.168872,-104.826937,federal
